Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Brodo di carne,167.0,2.3,2.3,9.4,2.18,0.9,57.0,205.0
Bonet,518.0,61.6,60.6,20.5,7.28,3.7,458.0,153.0
Torta morbida al cacao con ganache al cioccolato,942.0,86.2,72.1,60.9,34.15,3.1,154.0,102.0
Crostata pasquale alla ricotta e cioccolata,319.0,32.6,15.7,17.4,10.15,0.9,65.0,107.0
Pasta fredda alle zucchine,400.0,40.0,6.5,20.0,6.75,8.8,23.0,791.0
Torta nuvola,524.0,100.1,79.4,9.3,4.88,0.2,127.0,218.0
Torta zebrata,541.0,75.7,30.7,21.3,11.56,2.2,202.0,112.0
Gelato al cioccolato,195.0,22.0,21.4,9.7,4.7,1.5,176.0,82.0
Spatzle,386.0,49.0,1.4,15.7,8.26,1.8,187.0,354.0
Risotto alle carote,624.0,96.6,8.9,19.4,10.92,4.6,59.0,1461.0
Ciambellone della nonna,593.0,83.5,45.9,24.3,13.53,2.3,165.0,58.0
Gnocchi ai 4 formaggi,993.0,99.8,6.0,47.6,25.54,5.2,189.0,938.0
Biscotti alla cannella,75.0,9.8,3.9,3.4,1.96,0.2,15.0,27.0
Plumcake alla Nutella,459.0,63.4,39.2,18.5,8.94,1.9,159.0,185.0
Spaghetti ricotta e spinaci,594.0,73.2,6.5,21.5,10.5,4.2,65.0,628.0
Crepe ricotta e spinaci,831.0,40.7,13.9,61.4,28.31,2.3,202.0,655.0
Crema al limone,182.0,29.3,22.2,5.4,2.34,0.2,152.0,35.0
Gnocchi speck e noci,999.0,99.8,5.8,47.3,18.35,6.6,174.0,1641.0
Sfogliatine alle mele,560.0,57.4,21.4,34.2,13.17,4.1,79.0,374.0
Paste di meliga,79.0,8.6,2.9,4.5,2.54,0.2,22.0,19.0
Salsa alle noci,449.0,9.6,4.0,41.1,6.25,2.6,11.0,111.0
Pasta alla vesuviana,404.0,54.2,4.2,13.6,4.37,9.7,12.0,706.0
Risotto radicchio e gorgonzola,572.0,78.3,8.2,22.3,5.31,4.0,21.0,850.0
Pasta fredda melanzane e feta,446.0,68.8,6.1,11.5,4.12,12.7,14.0,1309.0
Ravioli di pesce,360.0,42.1,3.9,12.7,4.19,1.8,150.0,602.0
Pici all'aglione,426.0,72.4,8.5,10.6,1.57,3.7,0.0,309.0
Torta meringata alle fragole,578.0,107.1,105.3,13.0,7.18,0.5,104.0,113.0
Risotto alle verdure,549.0,78.2,7.4,20.1,6.26,5.2,21.0,967.0
Torta fredda al limone,486.0,50.9,38.7,28.5,16.5,0.8,93.0,116.0
Finta maionese senza uova,565.0,0.3,0.3,62.3,7.0,0.0,0.0,496.0
Torta cremosa di mele,342.0,42.6,27.0,16.4,8.29,2.1,100.0,109.0
Crostata al cioccolato,818.0,96.3,52.3,42.1,23.47,2.2,297.0,77.0
Crema al burro,483.0,34.1,34.1,37.0,20.26,0.0,353.0,11.0
Zuppa di fagioli neri alla messicana,496.0,49.9,6.4,20.5,4.96,14.1,24.0,1863.0
Focaccia senza lievito,537.0,64.1,1.6,22.4,7.07,2.9,45.0,932.0
Confettura di susine gialle,34.0,8.3,8.3,0.0,0.0,0.3,0.0,2.0
Zuccotto senza cottura,407.0,16.7,10.3,33.6,19.67,2.0,99.0,335.0
Migliaccio,333.0,48.6,33.4,11.0,6.14,0.7,115.0,203.0
Cavatelli con speck crema di patate e rucola,679.0,72.9,5.9,30.6,12.43,3.3,91.0,1021.0
Risotto con piselli e menta,540.0,78.3,3.9,16.6,5.6,12.1,19.0,885.0
Caipiroska alla fragola,210.0,23.6,23.6,0.2,0.02,2.4,0.0,8.0
Ghiaccioli,50.0,12.1,12.1,0.1,0.01,0.4,0.0,2.0
Pasta pasticciata,902.0,75.1,8.4,45.6,20.98,4.1,248.0,1806.0
Parfait alle mandorle,457.0,37.3,37.3,30.7,10.03,4.3,142.0,20.0
Rotolo al cacao con crema al latte,278.0,37.8,29.1,10.9,5.84,1.1,120.0,99.0
